OTU_3	SAR11_Surface_1__Alpha__1958_bp_rna	92.7	370	26	1	1	370	1	369	1.1e-150	520.0
OTU_1	SAR11_Surface_1__Alpha__1958_bp_rna	99.7	369	1	0	1	369	1	369	5.9e-198	677.0
OTU_4	Prochlorococcus_2121_bp_rna	97.3	373	10	0	1	373	1	373	3.7e-185	634.5
OTU_5	SAR11_Surface_1__Alpha__1958_bp_rna	98.6	369	5	0	1	369	1	369	2.8e-191	654.8
OTU_6	Taumarchaea_MGI_a_1364_bp_rna	100.0	375	0	0	1	375	2	376	6e-203	693.6
OTU_7	Prochlorococcus_2121_bp_rna	96.5	373	13	0	1	373	1	373	3.7e-180	617.9
OTU_9	Flavobacteria_2061_bp_rna	100.0	369	0	0	1	369	1	369	1.3e-199	682.5
OTU_8	Flavobacteria_NS9_1483_bp_rna	78.2	363	77	1	1	363	1	361	1.2e-60	220.9
OTU_2	Rhodobacteriaceae__Alpha__1425_bp_rna	91.4	371	32	0	1	371	1	371	2.3e-147	508.9
OTU_11	Planctomyces_1460_bp_rna	84.8	369	56	0	1	369	5	373	3.1e-106	372.3
OTU_12	SAR116_a__Alpha__1946_bp_rna	99.5	370	2	0	1	370	1	370	7.7e-197	673.3
OTU_10	OCS155_a__Actino__1765_bp_rna	100.0	376	0	0	1	376	1	376	1.7e-203	695.5
OTU_14	Marine_Group_A__aka_SAR406__1992_bp_rna	100.0	373	0	0	1	373	1	373	7.7e-202	689.9
OTU_13	Flavobacteria_2061_bp_rna	89.1	367	40	0	1	367	1	367	8.4e-132	457.2
OTU_15	Rhodobacteriaceae__Alpha__1425_bp_rna	91.9	371	30	0	1	371	1	371	1.1e-150	520.0
OTU_18	Planctomyces_1460_bp_rna	100.0	372	0	0	1	372	2	373	2.8e-201	688.1
OTU_16	SAR92__Gamma__2072_bp_rna	85.8	372	53	0	1	372	1	372	6.8e-113	394.5
OTU_20	Marine_Group_A__aka_SAR406__1992_bp_rna	83.9	373	60	0	1	373	1	373	8.9e-102	357.5
OTU_19	Prochlorococcus_2121_bp_rna	80.2	373	69	1	1	368	1	373	3.3e-76	272.6
OTU_21	Taumarchaea_MGI_a_1364_bp_rna	98.1	375	7	0	1	375	2	376	2.8e-191	654.8
OTU_22	Flavobacteria_NS9_1483_bp_rna	85.0	367	51	1	1	367	1	363	5.3e-104	364.9
OTU_23	Pseudospirillum__Gamma__2285_bp_rna	87.9	372	45	0	1	372	1	372	3.1e-126	438.8
OTU_25	Prochlorococcus_2121_bp_rna	80.7	373	67	1	1	368	1	373	1.5e-79	283.7
OTU_26	Prochlorococcus_2121_bp_rna	100.0	373	0	0	1	373	1	373	7.7e-202	689.9
OTU_28	Rhodobacteriaceae__Alpha__1425_bp_rna	90.6	371	35	0	1	371	1	371	2.3e-142	492.3
OTU_30	Flavobacteria_NS9_1483_bp_rna	87.5	367	42	1	1	367	1	363	5.1e-119	414.8
OTU_32	Flavobacteria_formosa1	94.9	370	18	1	1	370	1	369	4.8e-164	564.3
OTU_29	OCS155_a__Actino__1765_bp_rna	77.1	362	80	2	11	369	12	373	5.7e-49	182.1
OTU_34	Flavobacteria_NS5_2093_bp_rna	99.2	375	3	0	1	375	1	375	6e-198	677.0
OTU_35	Flavobacteria_2061_bp_rna	88.7	371	38	1	1	371	1	367	6.6e-128	444.3
OTU_38	SAR116_c__Alpha__2045_bp_rna	83.2	370	61	1	1	369	1	370	2.5e-92	326.1
OTU_37	OCS155_a__Actino__1765_bp_rna	76.6	363	82	2	12	371	12	374	3.5e-46	172.9
OTU_40	AEGEAN-169_Alpha__1974_bp_rna	100.0	367	0	0	1	367	1	367	1.6e-198	678.8
OTU_24	OCS155_b__Actino__1747_bp_rna	100.0	376	0	0	1	376	1	376	1.7e-203	695.5
OTU_39	Rhodobacteriaceae__Alpha__1425_bp_rna	88.4	371	43	0	1	371	1	371	5.1e-129	448.0
OTU_41	SAR92__Gamma__2072_bp_rna	99.7	372	1	0	1	372	1	372	1.3e-199	682.5
OTU_44	OCS155_a__Actino__1765_bp_rna	80.5	246	46	1	127	370	129	374	2.7e-47	176.6
OTU_49	Thaumarchaea_MGI_b_1363_bp_rna	96.3	375	14	0	1	375	2	376	1.3e-179	616.1
OTU_42	Prochlorococcus_2121_bp_rna	72.9	361	96	1	10	370	11	369	7.6e-28	111.9
