denovo1000052 ERR2098508_278682	SAR11_Surface_1__Alpha__1958_bp_rna	99.5	370	2	0	1	370	1	370	7.7e-197	673.3
denovo1000034 ERR2098508_1629135	Flavobacteria_formosa1	99.5	370	2	0	1	370	370	1	7.7e-197	673.3
denovo1000109 ERR2098508_1031984	SAR11_Surface_1__Alpha__1958_bp_rna	99.2	370	3	0	1	370	370	1	3.6e-195	667.8
denovo1000020 ERR2098508_1520158	OCS155_a__Actino__1765_bp_rna	99.5	377	2	0	1	377	377	1	1e-200	686.2
denovo1000110 ERR2098508_1031982	SAR11_Surface_1__Alpha__1958_bp_rna	98.9	370	4	0	1	370	370	1	1.7e-193	662.2
denovo1000202 ERR2098508_1453576	SAR86_a__Gamma__1729_bp_rna	96.7	366	12	0	1	366	1	366	6.1e-178	610.5
denovo1000108 ERR2098508_1031986	Flavobacteria_NS9_1483_bp_rna	98.1	366	7	0	1	366	1	366	2.8e-186	638.2
denovo1000218 ERR2098508_1310927	SAR116_a__Alpha__1946_bp_rna	99.5	371	2	0	1	371	371	1	2.1e-197	675.1
denovo1000205 ERR2098508_1737568	Planctomyces_1460_bp_rna	99.5	374	2	0	1	374	1	374	4.7e-199	680.7
denovo1000367 ERR2098508_1615498	SAR11_Surface_1__Alpha__1958_bp_rna	99.2	370	3	0	1	370	370	1	3.6e-195	667.8
denovo1000361 ERR2098508_1305111	SAR11_Surface_1__Alpha__1958_bp_rna	98.9	370	4	0	1	370	1	370	1.7e-193	662.2
denovo1000285 ERR2098508_846050	Prochlorococcus_2121_bp_rna	98.6	370	5	0	1	370	1	370	7.8e-192	656.7
denovo1000196 ERR2098467_1267669	SAR11_Surface_1__Alpha__1958_bp_rna	98.9	370	4	0	1	370	370	1	1.7e-193	662.2
denovo1000682 ERR2196992_140299	SAR116_a__Alpha__1946_bp_rna	99.5	371	2	0	1	371	371	1	2.1e-197	675.1
denovo1000806 ERR2098508_1030970	SAR11_Surface_1__Alpha__1958_bp_rna	99.5	370	2	0	1	370	1	370	7.7e-197	673.3
denovo1000672 ERR2098508_1729954	OCS155_a__Actino__1765_bp_rna	98.1	377	7	0	1	377	1	377	2.2e-192	658.5
denovo1000826 ERR2098508_66136	Planctomyces_1460_bp_rna	99.2	373	3	0	2	374	373	1	7.8e-197	673.3
denovo1000829 ERR2098508_1601994	Planctomyces_1460_bp_rna	99.2	374	3	0	1	374	1	374	2.2e-197	675.1
denovo1000701 ERR2098508_1527506	Planctomyces_1460_bp_rna	99.2	374	3	0	1	374	374	1	2.2e-197	675.1
