denovo1000009 ERR2098507_1074698	Planctomyces_1460_bp_rna	98.4	373	6	0	2	374	373	1	3.2e-192	656.7
denovo1000010 ERR2098507_1074697	Planctomyces_1460_bp_rna	98.7	374	5	0	1	374	1	374	1.9e-194	664.1
denovo1000014 ERR2098507_1074691	Euryarchea_MGII_1234_bp_rna	98.9	377	4	0	1	377	1	377	8.9e-198	675.1
denovo1000323 ERR2098507_783351	Flavobacteria_2061_bp_rna	99.2	370	3	0	1	370	370	1	1.5e-195	667.8
denovo1000251 ERR2098507_1832511	Planctomyces_1460_bp_rna	98.9	374	4	0	1	374	1	374	4.1e-196	669.6
denovo1000128 ERR2098507_1125296	Marine_Group_A__aka_SAR406__1992_bp_rna	94.4	372	21	0	3	374	3	374	1.2e-166	571.7
denovo1000397 ERR2098507_597294	SAR11_Surface_1__Alpha__1958_bp_rna	99.5	370	2	0	1	370	1	370	3.1e-197	673.3
denovo1000424 ERR2098507_337578	Planctomyces_1460_bp_rna	99.5	374	2	0	1	374	1	374	1.9e-199	680.7
denovo100037 ERR2098507_126424	SAR116_a__Alpha__1946_bp_rna	98.1	371	7	0	1	371	371	1	1.9e-189	647.4
denovo1000461 ERR2098507_691064	SAR116_a__Alpha__1946_bp_rna	98.6	367	5	0	1	367	1	367	1.5e-190	651.1
denovo1000464 ERR2098507_21341	SAR116_a__Alpha__1946_bp_rna	99.5	371	2	0	1	371	371	1	8.8e-198	675.1
denovo1000535 ERR2098507_1764539	Euryarchea_MGII_1234_bp_rna	98.9	377	4	0	1	377	1	377	8.9e-198	675.1
denovo1000633 ERR2098507_780879	Flavobacteria_2061_bp_rna	99.5	370	2	0	1	370	370	1	3.1e-197	673.3
denovo1000801 ERR2098507_670463	SAR202_a__Chloroflexi__1505_bp_rna	99.7	359	1	0	1	359	374	16	8.9e-193	658.5
denovo1000810 ERR2098507_1313923	SAR11_Surface_1__Alpha__1958_bp_rna	99.2	370	3	0	1	370	370	1	1.5e-195	667.8
